"numerical_seed","pair_count","resolution","time_steps","time_step","q","h","rho","tau","conditional_variance_mean","conditional_variance_se","denominator_moment_mean","denominator_moment_se","numerator_rate_unit","denominator_rate_unit","transfer","transfer_se","corrected_ratio","corrected_ratio_se","runtime_seconds","replication"
941001,50000,"steps_64",64,3.9525e-05,0.0620420677969958,0.01581,0.4,0.0025296,0.000813599786373285,8.14239670833203e-06,0.251446167670657,0.00111926903185348,0.964895382321257,1.00578467068263,0.959345882321294,0.00860751082590716,0.153495341171407,0.00137720173214515,134.5,"primary"
941001,50000,"steps_64",64,6.17578125e-05,0.0620420677969958,0.01581,0.5,0.0039525,0.00126919977993868,1.27062302542113e-05,0.251570786706365,0.00111822957226083,0.963339491414557,1.00628314682546,0.957324481139946,0.00859141942653041,0.239331120284986,0.0021478548566326,134.5,"primary"
941001,50000,"steps_64",64,8.893125e-05,0.0620420677969958,0.01581,0.6,0.0056916,0.00182399538023143,1.82675993874692e-05,0.251720040964335,0.00111696025506648,0.961414389748804,1.00688016385734,0.954844900375872,0.00857157443610258,0.343744164135314,0.00308576679699693,134.5,"primary"
941001,50000,"steps_64",64,0.0001210453125,0.0620420677969958,0.01581,0.7,0.0077469,0.00247674530495194,2.48162169427288e-05,0.251893769969841,0.00111546399021376,0.959123767552931,1.00757507987936,0.951912950911576,0.00854802536017576,0.466437345946672,0.00418853242648613,134.5,"primary"
941001,50000,"steps_64",64,0.0001581,0.0620420677969958,0.01581,0.8,0.0101184,0.00322598860317307,3.23399043538744e-05,0.25209178838139,0.00111374419123198,0.956471953028068,1.00836715352556,0.948535411614657,0.008520830051804,0.607062663433381,0.00545333123315456,134.5,"primary"
941001,50000,"steps_64",64,0.0002000953125,0.0620420677969958,0.01581,0.9,0.0128061,0.00407005127461482,4.08246361506991e-05,0.252313886539667,0.00111180475565112,0.953463882356413,1.00925554615867,0.94471998294723,0.0084900542935039,0.765223186187256,0.00687694397773816,134.5,"primary"
941001,50000,"steps_64",64,0.00024703125,0.0620420677969958,0.01581,1,0.01581,0.00500705373920686,5.02545902090638e-05,0.25255983108025,0.00110965004295999,0.950105073853294,1.010239324321,0.940475242826128,0.00845577132372807,0.940475242826128,0.00845577132372807,134.5,"primary"
941001,50000,"steps_64",64,0.0002989078125,0.0620420677969958,0.01581,1.1,0.0191301,0.00603491911038346,6.06122034659009e-05,0.25282936560732,0.00110728485035862,0.946401604338209,1.01131746242928,0.935810602997858,0.00841806133037245,1.13233082962741,0.0101858542097507,134.5,"primary"
941001,50000,"steps_64",64,0.000355725,0.0620420677969958,0.01581,1.2,0.0227664,0.00715138222251455,7.18782328968513e-05,0.253122211425364,0.00110471438657018,0.942360086247436,1.01248884570146,0.930736264649479,0.00837701093118408,1.34026022109525,0.0120628957409051,134.5,"primary"
941001,50000,"steps_64",64,0.0004174828125,0.0620420677969958,0.01581,1.3,0.0267189,0.00835399935887975,8.40318216401209e-05,0.253438068325595,0.00110194424398575,0.93798764457516,1.01375227330238,0.92526317254963,0.0083327126555871,1.56369476160888,0.0140822843879422,134.5,"primary"
941001,50000,"steps_64",64,0.00048418125,0.0620420677969958,0.01581,1.4,0.0309876,0.00964015862282509,9.70505702040778e-05,0.253776615423598,0.00109898036941884,0.933291893159692,1.01510646169439,0.919402967450195,0.00828526443523814,1.80202981620238,0.0162391182930667,134.5,"primary"
941001,50000,"steps_64",64,0.0005558203125,0.0620420677969958,0.01581,1.5,0.0355725,0.011007090891067,0.000110910612691485,0.254137512044582,0.00109582903374488,0.928280910062579,1.01655004817833,0.913167936715039,0.00823476910365722,2.05462785760884,0.0185282304832288,134.5,"primary"
941001,50000,"steps_64",64,0.0006324,0.0620420677969958,0.01581,1.6,0.0404736,0.0124518812840053,0.000125586697902504,0.254520398652428,0.00109249680069522,0.922963211871834,1.01808159460971,0.906570963229777,0.00818133390040498,2.32082166586823,0.0209442147850367,134.5,"primary"
941001,50000,"steps_64",64,0.0007139203125,0.0620420677969958,0.01581,1.7,0.0456909,0.0139714810831695,0.00014105227505483,0.254924897818683,0.00108899049506598,0.917347726779476,1.01969959127473,0.899625472667587,0.00812506997325602,2.59991761600933,0.0234814522227099,134.5,"primary"
941001,50000,"steps_64",64,0.00080038125,0.0620420677969958,0.01581,1.8,0.0512244,0.0155627200208763,0.000157279583708297,0.255350615227486,0.00108531717059056,0.911443766303342,1.02140246090994,0.892345379206702,0.00806609187240089,2.89119902862972,0.0261341376665789,134.5,"primary"
