"panel","run_id","case","seed","alpha","sigma2","sigma1","rho","n_steps","terminal"
"development","production__R08__rep02__n10000000__T50",10065,110008002,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep03__n10000000__T50",10066,110008003,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep04__n10000000__T50",10067,110008004,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep05__n10000000__T50",10068,110008005,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep06__n10000000__T50",10069,110008006,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep07__n10000000__T50",10070,110008007,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep08__n10000000__T50",10071,110008008,1.55,0.9,0.9,1.9,10000000,50
"untouched","production__R08__rep09__n10000000__T50",10072,120008001,1.55,0.9,0.9,1.9,10000000,50
"development","production__R09__rep01__n10000000__T50",10073,110009001,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep02__n10000000__T50",10074,110009002,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep03__n10000000__T50",10075,110009003,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep04__n10000000__T50",10076,110009004,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep05__n10000000__T50",10077,110009005,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep06__n10000000__T50",10078,110009006,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep07__n10000000__T50",10079,110009007,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep08__n10000000__T50",10080,110009008,1.55,1,1.6,1.2,10000000,50
"untouched","production__R09__rep09__n10000000__T50",10081,120009001,1.55,1,1.6,1.2,10000000,50
"development","production__R10__rep01__n10000000__T50",10082,110010001,1.32,0.95,1.2,1.5,10000000,50
"development","production__R10__rep02__n10000000__T50",10083,110010002,1.32,0.95,1.2,1.5,10000000,50
"development","production__R10__rep03__n10000000__T50",10084,110010003,1.32,0.95,1.2,1.5,10000000,50
"development","production__R10__rep04__n10000000__T50",10085,110010004,1.32,0.95,1.2,1.5,10000000,50
"development","production__R10__rep05__n10000000__T50",10086,110010005,1.32,0.95,1.2,1.5,10000000,50
"development","production__R10__rep06__n10000000__T50",10087,110010006,1.32,0.95,1.2,1.5,10000000,50
"development","production__R10__rep07__n10000000__T50",10088,110010007,1.32,0.95,1.2,1.5,10000000,50
"development","production__R10__rep08__n10000000__T50",10089,110010008,1.32,0.95,1.2,1.5,10000000,50
"untouched","production__R10__rep09__n10000000__T50",10090,120010001,1.32,0.95,1.2,1.5,10000000,50
"development","production__R11__rep01__n10000000__T50",10091,110011001,1.25,1.1,0.7,1.9,10000000,50
"development","production__R11__rep02__n10000000__T50",10092,110011002,1.25,1.1,0.7,1.9,10000000,50
"development","production__R11__rep03__n10000000__T50",10093,110011003,1.25,1.1,0.7,1.9,10000000,50
"development","production__R11__rep04__n10000000__T50",10094,110011004,1.25,1.1,0.7,1.9,10000000,50
"development","production__R11__rep05__n10000000__T50",10095,110011005,1.25,1.1,0.7,1.9,10000000,50
"development","production__R11__rep06__n10000000__T50",10096,110011006,1.25,1.1,0.7,1.9,10000000,50
"development","production__R11__rep07__n10000000__T50",10097,110011007,1.25,1.1,0.7,1.9,10000000,50
"development","production__R11__rep08__n10000000__T50",10098,110011008,1.25,1.1,0.7,1.9,10000000,50
"untouched","production__R11__rep09__n10000000__T50",10099,120011001,1.25,1.1,0.7,1.9,10000000,50
