"numerical_seed","pair_count","resolution","time_steps","time_step","q","h","rho","tau","conditional_variance_mean","conditional_variance_se","denominator_moment_mean","denominator_moment_se","numerator_rate_unit","denominator_rate_unit","transfer","transfer_se","corrected_ratio","corrected_ratio_se","runtime_seconds","replication"
941001,50000,"steps_64",64,6.25e-05,0.0657816595213214,0.025,0.4,0.004,0.00128434329023612,1.28574171838923e-05,0.251574278979217,0.00111819210703917,0.96325746767709,1.00629711591687,0.957229681414158,0.00859024887335027,0.153156749026265,0.00137443981973604,144.67,"primary"
941001,50000,"steps_64",64,9.765625e-05,0.0657816595213214,0.025,0.5,0.00625,0.00200156361433505,2.00472496953158e-05,0.251766509120737,0.00111654894320617,0.960750534880823,1.00706603648295,0.954009469166613,0.00856429847925012,0.238502367291653,0.00214107461981253,144.67,"primary"
941001,50000,"steps_64",64,0.000140625,0.0657816595213214,0.025,0.6,0.009,0.00287299658955666,2.87920338015113e-05,0.251997281540885,0.00111454808246151,0.957665529852219,1.00798912616354,0.950075258745246,0.00853247873525715,0.342027093148289,0.00307169234469258,144.67,"primary"
941001,50000,"steps_64",64,0.00019140625,0.0657816595213214,0.025,0.7,0.01225,0.00389554765205054,3.90657374287373e-05,0.252266207847132,0.00111219671836511,0.954011669889927,1.00906483138853,0.945441402984142,0.00849491224314749,0.46326628746223,0.00416250699914227,144.67,"primary"
941001,50000,"steps_64",64,0.00025,0.0657816595213214,0.025,0.8,0.016,0.00506559810498249,5.08377422499722e-05,0.25257283972315,0.0011095032253298,0.949799644684217,1.0102913588926,0.940124486193083,0.00845174106686405,0.601679671163573,0.00540911428279299,144.67,"primary"
941001,50000,"steps_64",64,0.00031640625,0.0657816595213214,0.025,0.9,0.02025,0.00637903040830059,6.40730162375181e-05,0.252916670983154,0.00110647708460531,0.945041541970458,1.01166668393262,0.93414318864078,0.00840312510843482,0.756655982799032,0.00680653133783221,144.67,"primary"
941001,50000,"steps_64",64,0.000390625,0.0657816595213214,0.025,1,0.025,0.00783125648690335,7.87323075390344e-05,0.253297139857878,0.00110312880238242,0.939750778428402,1.01318855943151,0.927518150180936,0.00834924045780386,0.927518150180936,0.00834924045780386,144.67,"primary"
941001,50000,"steps_64",64,0.00047265625,0.0657816595213214,0.025,1.1,0.03025,0.00941724880649841,9.47723593924918e-05,0.253713631496045,0.00109946982137192,0.933942030396537,1.01485452598418,0.920271828605999,0.00829027778787314,1.11352891261326,0.0100312361233265,144.67,"primary"
941001,50000,"steps_64",64,0.0005625,0.0657816595213214,0.025,1.2,0.036,0.0111315739423696,0.00011214614602637,0.254165480663912,0.0010955124272318,0.927631161864136,1.01666192265565,0.91242835124684,0.00822644080311045,1.31389682579545,0.0118460747564791,144.67,"primary"
941001,50000,"steps_64",64,0.00066015625,0.0657816595213214,0.025,1.3,0.04225,0.0129684283370595,0.000130803129076323,0.254651974624423,0.00109126965119861,0.920835148193576,1.01860789849769,0.904013359362012,0.00815794470575448,1.5277825773218,0.0137869265527251,144.67,"primary"
941001,50000,"steps_64",64,0.000765625,0.0657816595213214,0.025,1.4,0.049,0.0149216759058893,0.000150689533117338,0.255172356176826,0.00108675517023066,0.913571994238119,1.0206894247073,0.895053845100921,0.00808501463080171,1.75430553639781,0.0158466286763713,144.67,"primary"
941001,50000,"steps_64",64,0.00087890625,0.0657816595213214,0.025,1.5,0.05625,0.0169848871092871,0.000171748637793588,0.255725826837006,0.00108198320590116,0.905860645828645,1.02290330734803,0.885577981145819,0.008007884014063,1.99255045757809,0.0180177390316417,144.67,"primary"
