"numerical_seed","pair_count","resolution","time_steps","time_step","q","h","rho","tau","conditional_variance_mean","conditional_variance_se","denominator_moment_mean","denominator_moment_se","numerator_rate_unit","denominator_rate_unit","transfer","transfer_se","corrected_ratio","corrected_ratio_se","runtime_seconds","replication"
941001,50000,"steps_64",64,0.000125,0.0723823994089045,0.05,0.4,0.008,0.00255652451215568,2.56118679068283e-05,0.251911581183528,0.00111526480606777,0.958696692058381,1.00764632473411,0.951421811925283,0.00854218074650518,0.152227489908045,0.00136674891944083,144.53,"primary"
941001,50000,"steps_64",64,0.0001953125,0.0723823994089045,0.05,0.5,0.0125,0.00397332271816411,3.98405287829515e-05,0.252283341340845,0.00111200128877093,0.953597452359387,1.00913336536338,0.94496672599464,0.00848936099762419,0.23624168149866,0.00212234024940605,144.53,"primary"
941001,50000,"steps_64",64,0.00028125,0.0723823994089045,0.05,0.6,0.018,0.00568426529956085,5.70554462130154e-05,0.252730165875413,0.0011080538040724,0.947377549926807,1.01092066350165,0.937143323043036,0.00842523459665399,0.337371596295493,0.00303308445479544,144.53,"primary"
941001,50000,"steps_64",64,0.0003828125,0.0723823994089045,0.05,0.7,0.0245,0.00767725953396292,7.71524664537127e-05,0.253250581727316,0.00110344999240623,0.940072595995459,1.01300232690927,0.928006354006787,0.00835027424031867,0.454723113463326,0.00409163437775615,144.53,"primary"
941001,50000,"steps_64",64,5e-04,0.0723823994089045,0.05,0.8,0.032,0.00993838235190076,0.000100010789523417,0.253842898732088,0.00109822142411767,0.931723345490696,1.01537159492835,0.917618091883338,0.00826501572310121,0.587275578805336,0.00528961006278477,144.53,"primary"
941001,50000,"steps_64",64,0.0006328125,0.0723823994089045,0.05,0.9,0.0405,0.0124520671254709,0.000125494317770092,0.254505224525699,0.0010924030793802,0.922375342627471,1.0180208981028,0.906047552016298,0.00817004949578657,0.733898517133201,0.00661774009158712,144.53,"primary"
941001,50000,"steps_64",64,0.00078125,0.0723823994089045,0.05,1,0.05,0.0152013087219973,0.000153453180814945,0.255235480901037,0.00108603279659047,0.912078523319836,1.02094192360415,0.893369644474977,0.00806601208437925,0.893369644474977,0.00806601208437925,144.53,"primary"
941001,50000,"steps_64",64,0.0009453125,0.0723823994089045,0.05,1.1,0.0605,0.018167882758331,0.00018372541001573,0.256031421397944,0.00107915070390097,0.90088674834699,1.02412568559178,0.879664245337645,0.00795357662212496,1.06439373685855,0.00962382771277121,144.53,"primary"
941001,50000,"steps_64",64,0.001125,0.0723823994089045,0.05,1.2,0.072,0.0213325742235603,0.000216138716968299,0.256890649900719,0.00107179864738261,0.888857259315012,1.02756259960288,0.865015191929455,0.00783344238171191,1.24562187637842,0.0112801570296651,144.53,"primary"
941001,50000,"steps_64",64,0.0013203125,0.0723823994089045,0.05,1.3,0.0845,0.0246754102864813,0.000250512322769818,0.257810640011131,0.00106401962790204,0.876050069342531,1.03124256004452,0.849509226330523,0.00770632374696137,1.43567059249858,0.0130236871323647,144.53,"primary"
941001,50000,"steps_64",64,0.00153125,0.0723823994089045,0.05,1.4,0.098,0.0281758922229165,0.000286658788249129,0.258788754958622,0.00105585725732591,0.862527312946425,1.03515501983449,0.833234922711708,0.00757293932744057,1.63314044851495,0.0148429610817835,144.53,"primary"
941001,50000,"steps_64",64,0.0017578125,0.0723823994089045,0.05,1.5,0.1125,0.0318132218751045,0.000324385806592012,0.259822267800495,0.00104735524322297,0.84835258333612,1.03928907120198,0.816281636017749,0.00743400192934985,1.83663368103994,0.0167265043410372,144.53,"primary"
941001,50000,"steps_64",64,0.002,0.0723823994089045,0.05,1.6,0.128,0.0355665187341212,0.000363497934051635,0.260908381654357,0.00103855690984009,0.833590282830965,1.04363352661743,0.798738505012154,0.00729020994178923,2.04477057283111,0.0186629374509804,144.53,"primary"
941001,50000,"steps_64",64,0.0022578125,0.0723823994089045,0.05,1.7,0.1445,0.0394150244768112,0.000403798247766199,0.262044249695564,0.00102950476175256,0.818305006438987,1.04817699878226,0.780693534956093,0.007142240470824,2.25620431602311,0.0206410749606814,144.53,"primary"
941001,50000,"steps_64",64,0.00253125,0.0723823994089045,0.05,1.8,0.162,0.0433382924988618,0.00044508992982414,0.263226994648187,0.00102024009518712,0.802560972201143,1.05290797859275,0.762232776765353,0.00699074432678517,2.46963419671974,0.0226500116187839,144.53,"primary"
941001,50000,"steps_64",64,0.0028203125,0.0723823994089045,0.05,1.9,0.1805,0.0473163606246578,0.000487177782563363,0.264453727503106,0.00101080266056736,0.786421506227,1.05781491001242,0.74343961196176,0.00683634277807059,2.68381699918196,0.0246791974288348,144.53,"primary"
941001,50000,"steps_64",64,0.003125,0.0723823994089045,0.05,2,0.2,0.0513299057305021,0.000529869680821008,0.265721565214087,0.00100123037834522,0.769948585957532,1.06288626085635,0.724394146686212,0.00667962583102914,2.89757658674485,0.0267185033241166,144.53,"primary"
941001,50000,"steps_64",64,0.0034453125,0.0723823994089045,0.05,2.1,0.2205,0.0553603794829813,0.000572977961746871,0.267027647152627,0.000991559108703318,0.753202441945324,1.06811058861051,0.705172713365903,0.00652115167780225,3.10981166594363,0.0287582788991079,144.53,"primary"
941001,50000,"steps_64",64,0.00378125,0.0723823994089045,0.05,2.2,0.242,0.0593901247619677,0.000616320742340229,0.268369150143492,0.000981822474302558,0.73624121605745,1.07347660057397,0.685847475076584,0.00636144688271492,3.31950177937067,0.0307894029123402,144.53,"primary"
941001,50000,"steps_64",64,0.0041328125,0.0723823994089045,0.05,2.3,0.2645,0.0634024726174575,0.000659723141824661,0.269743301951868,0.000972051733973989,0.719120672409726,1.07897320780747,0.666486125147643,0.00620100687370661,3.52571160203103,0.032803326361908,144.53,"primary"
941001,50000,"steps_64",64,0.0045,0.0723823994089045,0.05,2.4,0.288,0.0673818198381281,0.000703018375162935,0.271147393145943,0.00096227570416935,0.701893956647168,1.08458957258377,0.647151673213191,0.00604029638148935,3.72759363770798,0.0347921071573787,144.53,"primary"
941001,50000,"steps_64",64,0.0048828125,0.0723823994089045,0.05,2.5,0.3125,0.071313687441413,0.000746048680525629,0.272578787311054,0.000952520724127079,0.684611399437564,1.09031514924422,0.627902308715165,0.00587974961439805,3.92438942946978,0.0367484350899878,144.53,"primary"
941001,50000,"steps_64",64,0.00528125,0.0723823994089045,0.05,2.6,0.338,0.075184760673732,0.000788666050165506,0.274034929639476,0.000942810660096215,0.667320361009456,1.0961397185579,0.608791333542217,0.00571977013236602,4.11542941474539,0.0386656460947943,144.53,"primary"
